node_number,X,Y,Z
654,128.854578,38.92265933,36.54627725
655,136.2010012,32.75827832,36.54627725
656,143.5474244,26.59389731,36.54627725
657,150.8938476,20.4295163,36.54627725
658,158.2402708,14.26513529,36.54627725
659,165.586694,8.100754281,36.54627725
660,172.9331173,1.936373272,36.54627725
661,180.2795405,-4.228007738,36.54627725
662,187.6259637,-10.39238875,36.54627725
663,196.9700757,-14.176017,35.10420769
664,45.05970846,103.1744025,41.6
665,45.91900657,104.1984741,38.16874769
666,191.9881727,-20.11321769,41.6
667,52.40613168,97.01002149,41.6
668,59.75255489,90.84564048,41.6
669,67.0989781,84.68125947,41.6
670,74.44540132,78.51687846,41.6
671,81.79182453,72.35249745,41.6
672,89.13824775,66.18811644,41.6
673,96.48467096,60.02373543,41.6
674,103.8310942,53.85935442,41.6
675,111.1775174,47.69497341,41.6
676,118.5239406,41.5305924,41.6
677,125.8703638,35.36621139,41.6
678,133.216787,29.20183038,41.6
679,140.5632102,23.03744937,41.6
680,147.9096335,16.87306836,41.6
681,155.2560567,10.70868735,41.6
682,162.6024799,4.544306345,41.6
683,169.9489031,-1.620074664,41.6
684,177.2953263,-7.784455674,41.6
685,184.6417495,-13.94883668,41.6
686,192.8474709,-19.08914608,38.16874769
687,181.0607834,-33.13597323,-20
688,183.4809443,-30.25173778,-27.81831482
689,188.9189965,-23.77091955,-29.74927912
690,193.2799757,-18.57370685,-24.33883739
691,193.2799757,-18.57370685,-15.66116261
692,188.9189965,-23.77091955,-10.25072088
693,183.4809443,-30.25173778,-12.18168518
694,181.0607834,-33.13597323,20
695,183.4809443,-30.25173778,12.18168518
696,188.9189965,-23.77091955,10.25072088
697,193.2799757,-18.57370685,15.66116261
698,193.2799757,-18.57370685,24.33883739
699,188.9189965,-23.77091955,29.74927912
700,183.4809443,-30.25173778,27.81831482
701,178.1682391,-36.58317322,-30.48
702,178.1682391,-36.58317322,-21.36
703,178.1682391,-36.58317322,-12.24
704,178.1682391,-36.58317322,-3.12
705,178.1682391,-36.58317322,6
706,178.1682391,-36.58317322,15.12
707,178.1682391,-36.58317322,24.24
708,178.1682391,-36.58317322,33.36
709,178.1682391,-36.58317322,42.48
